Technology,Green roof type,Plant species,Irrigation,PV panel type,PV panels and GR locations,Distance PV-green roof [cm],Distance PV-basecase roof [cm],Season,Base case roof situation,Building type,Base case roof,Base case insulation,Roof slope,Item,Item type,Item scale,Item class,Original monetary value,u.m.,Original year(s) at which the item is accounted,Green roof lifetime [years],Actual year(s) at which the item is accounted,Actual monetary value at the accounting year,PPP Exchange rate [€ EU27-year/ local currency-year],Inflation adjustment ratio [GDP deflator 2019/GDP deflator year],Adjusted Monetary value [EU27 2019 €/m2],Method for monetary value,Quantiative absolute evaluation,u.m.3,Method for absolute evaluation,Quantiative absolute evaluation 2,u.m. 3,Method for absolute evaluation 2,Climate,Continent,Country,City,Authors,Year,Title,Study type
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Air quality enhancement,benefit,urban,socio-environmental,0.369,2011 €/m2,every year,50,every year,0.369,0.895,1.356,0.447974125,"Avoided cost (health cost of NO2 emissions, avoided through uptake)",0.05-0.1,kgNO2/m2/year,"Value adapted from literature (Clark et al., 2008)",4912,€/KgNO2 reduced,"Value adapted from literature (Marien et al., 2001)",Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Air quality enhancement,benefit,urban,socio-environmental,0.012,2011 €/m2,every year,50,every year,0.0124,0.895,1.356,0.015053873,"Avoided cost (health cost of NO2 emissions, avoided through uptake)",,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Air quality enhancement,benefit,urban,socio-environmental,0.491,2011 €/m2,every year,50,every year,0.491,0.895,1.356,0.596084811,"Avoided cost (health cost of NO2 emissions, avoided through uptake)",,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0,2011 €/m2,every year,50,every year,0,0.895,1.356,0,Considered negligible,,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0,2011 €/m2,every year,50,every year,0,0.895,1.356,0,Considered negligible,,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Urban heat island effect mitigation,benefit,urban,socio-environmental,0,2011 €/m2,every year,50,every year,0,0.895,1.356,0,Considered negligible,,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,CO2 emission reduction,benefit,societal,socio-environmental,0.03,2011 €/m2,every year,50,every year,0.03,0.895,1.356,0.036420661,"Avoided cost (damage of CO2, avoided through lower energy consumption)",1516,CO2eq /m2/year,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,CO2 emission reduction,benefit,societal,socio-environmental,0.02,2011 €/m2,every year,50,every year,0.02,0.895,1.356,0.02428044,"Avoided cost (damage of CO2, avoided through lower energy consumption)",,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,CO2 emission reduction,benefit,societal,socio-environmental,0.081,2011 €/m2,every year,50,every year,0.081,0.895,1.356,0.098335783,"Avoided cost (damage of CO2, avoided through lower energy consumption)",,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.303,2011 €/m2,every year,50,every year,0.303,0.895,1.356,0.367848672,Avoided cost (water treatement),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.288,2011 €/m2,every year,50,every year,0.288,0.895,1.356,0.349638341,Avoided cost (water treatement),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Water runoff quality increase,benefit,urban,socio-environmental,0.318,2011 €/m2,every year,50,every year,0.318,0.895,1.356,0.386059002,Avoided cost (water treatement),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.1,2011 €/m2,every year,50,every year,0.1,0.895,1.356,0.121402202,Avoided cost (water transportation cost),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.095,2011 €/m2,every year,50,every year,0.095,0.895,1.356,0.115332092,Avoided cost (water transportation cost),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Stormwater management,benefit,urban,socio-environmental,0.105,2011 €/m2,every year,50,every year,0.105,0.895,1.356,0.127472312,Avoided cost (water transportation cost),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Fire risk reduction,benefit,building,financial,0,2011 €/m2,every year,50,every year,0,0.895,1.356,0,Considered negligible,,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Fire risk reduction,benefit,building,financial,0,2011 €/m2,every year,50,every year,0,0.895,1.356,0,Considered negligible,,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Fire risk reduction,benefit,building,financial,0,2011 €/m2,every year,50,every year,0,0.895,1.356,0,Considered negligible,,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,,2011 €/m2,0,50,not accounted,,0.895,1.356,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,,2011 €/m2,0,50,not accounted,,0.895,1.356,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,,2011 €/m2,0,50,not accounted,,0.895,1.356,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Biodiversity enhancement,benefit,urban,socio-environmental,,2011 €/m2,every year,50,not accounted,,0.895,1.356,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Biodiversity enhancement,benefit,urban,socio-environmental,,2011 €/m2,every year,50,not accounted,,0.895,1.356,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Biodiversity enhancement,benefit,urban,socio-environmental,,2011 €/m2,every year,50,not accounted,,0.895,1.356,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Installation of green roof (net),cost,building,financial,65,2006 US$/m2,0,40,0,65,0.796,0.756,39.12906784,Market value,,,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Longevity increase,benefit,building,financial,167,2006 US$/m2,every 20 years,40,every year,8.35,0.796,0.756,5.026580253,Avoided cost (roof replacement),,,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Stormwater management,benefit,urban,socio-environmental,0.09,2006 US$/m2,every year,40,every year,0.09,0.796,0.756,0.054178709,Avoided cost (storwater fee),,,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Air quality enhancement,benefit,urban,socio-environmental,1.72,2006 US$/m2,every year,40,every year,1.7226,0.796,0.756,1.036980496,"Avoided cost (health cost of NO2 emissions, avoided through uptake)",0.27,kgNO2/m2/year,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Energy consumption reduction (heating and cooling),benefit,building,financial,0.38,2006 US$/m2,every year,40,every year,0.3797,0.796,0.756,0.2285614,Avoided cost (electricity and natural gas consumption),8.77,kWh/m2/year,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Energy consumption reduction (heating and cooling),benefit,building,financial,0.89,2006 US$/m2,every year,40,every year,0.893,0.796,0.756,0.537602166,Avoided cost (electricity and natural gas consumption),35.35,kWh/m2/year,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,university,black roof,non-insulated,flat,Air quality enhancement,benefit,urban,socio-environmental,0.45,2006 US$/m2,every year,40,every year,0.4536,0.796,0.756,0.273060695,"Avoided cost (health cost of NO2 emissions, avoided through uptake)",0.27,kgNO2/m2/year,,,,,Dfa,North America,USA,Ann Arbor,"Clark et al., ",2008,Green roof valuation: a probabilisitc economic analysis of environmental benefits,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,university,gravel roof,insulated,flat,Biodiversity enhancement,benefit,urban,socio-environmental,,2005 US$/m2,every year,40,not accounted,,0.819,0.862,,Not considered (difficulties in quantification),,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,university,gravel roof,insulated,flat,Installation of green roof (net),cost,building,financial,71.63,2005 US$/m2,0,40,0,71.63,0.819,0.862,50.57631053,Market value,,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,university,gravel roof,insulated,flat,Longevity increase,benefit,building,financial,80.78,2005 US$/m2,every 20 years,40,every year,4.039,0.819,0.862,2.85184585,Avoided cost (roof replacement),,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,mix of multiple,gravel roof,insulated,flat,Stormwater management,benefit,urban,socio-environmental,9.1,2005 US$/m2,every year,40,every year,9.1,0.819,0.862,6.425302609,"Avoided cost (storwater fee, and infrastructure cost)",,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,university,gravel roof,insulated,flat,Energy consumption reduction (heating and cooling),benefit,building,financial,0.37,2005 US$/m2,every year,40,every year,0.37,0.819,0.862,0.261248568,Local measurement and energy building simulation,,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,mix of multiple,gravel roof,insulated,flat,Air quality enhancement,benefit,urban,socio-environmental,0.11,2005 US$/m2,every year,40,every year,0.11,0.819,0.862,0.077668493,"Benefit transfer, based on Avoided cost (emission permit cost for NOx emissions, avoided through uptake)",,,"Value from literature (Clark et al., 2005)",,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,university,gravel roof,insulated,flat,Urban heat island effect mitigation,benefit,urban,socio-environmental,0,2005 US$/m2,every year,40,every year,0,0.819,0.862,0,Considered negligible,,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,Sedum,no,,,,,annual average,To be constructed,residential,gravel roof,insulated,flat,Stormwater management,benefit,urban,socio-environmental,0.06,2005 US$/m2,every year,40,every year,0.06,0.819,0.862,0.042364633,Avoided cost (storwater fee),,,,,,,Cfa,North America,USA,"Athens, GA","Carter and Keeler,",2008,Life-cycle cost-benefit analysis of extensive vegetated roof systems,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Installation of green roof (gross),cost,building,financial,130,2012 US$/m2,0,40,0,130,0.739,1.309,125.7289268,Market value,,,,,,,,North America,Canada,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Installation of green roof (gross),cost,building,financial,165,2012 US$/m2,0,40,0,165,0.739,1.309,159.5790225,Market value,,,,,,,,North America,Canada,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Energy consumption reduction (cooling),benefit,building,financial,0.18,2012 US$/m2,every year,40,every year,0.18,0.739,1.309,0.174086206,Avoided cost (electricity consumption),1.8,kWh/m2,"Value from literature (Lee et al., 2007)",0.1,$/kWh,"Value from literature (Lee et al., 2007)",Csb,North America,USA,Oregon,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Energy consumption reduction (cooling),benefit,building,financial,0.68,2012 US$/m2,every year,40,every year,0.68,0.739,1.309,0.657659002,Avoided cost (electricity consumption),6.8,kWh/m2,"Value from literature (Lee et al., 2007)",0.1,$/kWh,"Value from literature (Lee et al., 2007)",Csb,North America,USA,Oregon,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Energy consumption reduction (heating),benefit,building,financial,0.22,2012 US$/m2,every year,40,every year,0.22,0.739,1.309,0.21277203,Avoided cost (natural gas consumption),0.22,therm/m2,"Value from literature (City of Portland, 2008)",1, $/therm,"Value from literature (Lee et al., 2007)",Csb,North America,USA,Oregon,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Maintenance of green roof (gross),cost,building,financial,0.65,2012 US$/m2,every year,40,every year,0.65,0.739,1.309,0.628644634,Market value,,,"Value from literature (Acks, 2005)",,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Maintenance of green roof (gross),cost,building,financial,13.46,2012 US$/m2,every year,40,every year,13.46,0.739,1.309,13.01777965,Market value,,,"Value from literature (Acks, 2005)",,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Longevity increase,benefit,building,financial,161.46,2012 US$/m2,every 20 years,40,every year,8.073,0.739,1.309,7.807766354,Avoided cost (roof replacement),,,"Value from literature (City of Portland, 2008)",,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,13.98,2012 US$/m2,0,40,0,13.98,0.739,1.309,13.52069536,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,22.07,2012 US$/m2,0,40,0,22.07,0.739,1.309,21.34490319,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,3.17,2012 US$/m2,0,40,0,3.17,0.739,1.309,3.065851523,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,CO2 emissions from green roof production,cost,societal,socio-environmental,13.98,2012 US$/m2,0,40,0,13.98,0.739,1.309,13.52069536,Market value (CO2 tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,CO2 emissions from green roof production,cost,societal,socio-environmental,22.07,2012 US$/m2,0,40,0,22.07,0.739,1.309,21.34490319,Market value (CO2 tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,CO2 emissions from green roof production,cost,societal,socio-environmental,3.17,2012 US$/m2,0,40,0,3.17,0.739,1.309,3.065851523,Market value (CO2 tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Air quality enhancement,benefit,urban,socio-environmental,0.03,2012 US$/m2,every year,40,every year,0.0265,0.739,1.309,0.025629358,"Avoided cost (NO2 emission credit, due to uptake)",,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Air quality enhancement,benefit,urban,socio-environmental,0.03,2012 US$/m2,every year,40,every year,0.0313,0.739,1.309,0.030271657,"Avoided cost (NO2 emission credit, due to uptake)",,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Flood risk reduction,benefit,urban,socio-environmental,0,2012 US$/m2,every year,40,every year,0,0.739,1.309,0,Avoided cost (damage cost of flooding),,,,,,,Cfb,Europe,United Kingdom,England and Wales,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Flood risk reduction,benefit,urban,socio-environmental,0.002,2012 US$/m2,every year,40,every year,0.0024,0.739,1.309,0.002321149,Avoided cost (damage cost of flooding),,,,,,,Cfb,Europe,United Kingdom,England and Wales,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Biodiversity enhancement,benefit,urban,socio-environmental,0,2012 US$/m2,0,40,every year,0,0.739,1.309,0,Avoided cost (habitat restoration cost),,,,,,,Csb,North America,USA,Portland,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Biodiversity enhancement,benefit,urban,socio-environmental,10.2,2012 US$/m2,0,40,every year,0.255,0.739,1.309,0.246622126,Avoided cost (habitat restoration cost),,,,,,,Csb,North America,USA,Portland,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,residential,black roof,,,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.01,2012 US$/m2,every year,40,every year,0.0083,0.739,1.309,0.008027308,Avoided cost (electricity consumption for cooling),Oct-14,% reduction in electricity demand,"Value from literature (Zinzi and Agnoli, 2011)",,,,,North America,USA,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,residential,black roof,,,Urban heat island effect mitigation,benefit,urban,socio-environmental,0.02,2012 US$/m2,every year,40,every year,0.017,0.739,1.309,0.016441475,Avoided cost (electricity consumption for cooling),Oct-14,% reduction in electricity demand,"Value from literature (Zinzi and Agnoli, 2011)",,,,,North America,USA,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,8.3,2012 US$/m2,0,40,every year,8.3,0.739,1.309,8.027308403,Benefit transfer (based on hedonic pricing),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,2.6,2012 US$/m2,0,40,every year,2.6,0.739,1.309,2.514578536,Benefit transfer (based on hedonic pricing),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Disposal of green roof,cost,building,financial,0.09,2012 US$/m2,last year,40,last year,0.089,0.739,1.309,0.086075958,Market value,,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Disposal of green roof,cost,building,financial,0.2,2012 US$/m2,last year,40,last year,0.2,0.739,1.309,0.193429118,Market value,,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Disposal of green roof,cost,building,financial,0.002,2012 US$/m2,last year,40,last year,0.002,0.739,1.309,0.001934291,Market value,,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis
